,city,country,lat,lon,temp,humidity,wind_speed,cloudiness
538,San Andres del Rabanedo,ES,42.61,-5.62,51.8,71,5.82,20
539,Isla Vista,US,34.41,-119.86,59.85,84,2.08,90
540,Solone,UA,48.2,34.88,67.17,52,6.71,0
541,Bonthe,SL,7.53,-12.5,79.85,91,4.99,92
542,Saiha,IN,22.49,92.98,72.2,90,1.59,92
543,Tomatlan,MX,19.93,-105.25,70.58,89,3.27,12
544,Pirenopolis,BR,-15.85,-48.96,68.0,72,4.7,75
545,Solano,PH,16.52,121.18,72.56,92,2.08,64
546,Areka,ET,7.07,37.71,77.69,39,3.76,8
547,Cesvaine,LV,56.97,26.31,51.68,74,11.54,24
548,Marawi,PH,8.0,124.29,76.16,86,2.3,56
549,Oruro,BO,-17.97,-67.11,34.4,99,7.56,20
550,Nantucket,US,41.28,-70.1,61.38,89,10.29,90
551,Papayal,EC,-2.43,-79.18,51.8,106,2.24,20
552,Samsun,TR,41.29,36.33,68.0,68,8.05,75
553,Toamasina,MG,-18.17,49.38,82.4,65,9.17,75
